Package	Version	LibPath
nnet	7.3-20	/usr/local/lib/R/library
numDeriv	2016.8-1.1	/usr/local/lib/R/site-library
openssl	2.4.1	/usr/local/lib/R/site-library
org.At.tair.db	3.22.0	/usr/local/lib/R/site-library
otel	0.2.0	/usr/local/lib/R/site-library
pak	0.9.5	/usr/local/lib/R/site-library
parallel	4.5.3	/usr/local/lib/R/library
parallelly	1.47.0	/usr/local/lib/R/site-library
patchwork	1.3.2	/usr/local/lib/R/site-library
pbapply	1.7-4	/usr/local/lib/R/site-library
pbkrtest	0.5.5	/usr/local/lib/R/site-library
pbmcapply	1.5.1	/usr/local/lib/R/site-library
pheatmap	1.0.13	/usr/local/lib/R/site-library
pillar	1.11.1	/usr/local/lib/R/site-library
pkgbuild	1.4.8	/usr/local/lib/R/site-library
pkgconfig	2.0.3	/usr/local/lib/R/site-library
pkgdown	2.2.0	/usr/local/lib/R/site-library
pkgload	1.5.2	/usr/local/lib/R/site-library
plotly	4.12.0	/usr/local/lib/R/site-library
plyr	1.8.9	/usr/local/lib/R/site-library
png	0.1-9	/usr/local/lib/R/site-library
polyclip	1.10-7	/usr/local/lib/R/site-library
polynom	1.4-1	/usr/local/lib/R/site-library
praise	1.0.0	/usr/local/lib/R/site-library
preprocessCore	1.72.0	/usr/local/lib/R/site-library
prettyunits	1.2.0	/usr/local/lib/R/site-library
processx	3.9.0	/usr/local/lib/R/site-library
profvis	0.4.0	/usr/local/lib/R/site-library
progress	1.2.3	/usr/local/lib/R/site-library
progressr	0.19.0	/usr/local/lib/R/site-library
promises	1.5.0	/usr/local/lib/R/site-library
proxy	0.4-29	/usr/local/lib/R/site-library
ps	1.9.3	/usr/local/lib/R/site-library
pscl	1.5.9	/usr/local/lib/R/site-library
purrr	1.2.2	/usr/local/lib/R/site-library
quadprog	1.5-8	/usr/local/lib/R/site-library
quantreg	6.1	/usr/local/lib/R/site-library
qvalue	2.42.0	/usr/local/lib/R/site-library
R.methodsS3	1.8.2	/usr/local/lib/R/site-library
